,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
3498,COMBIT 2433,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2403.0,561.0,,492.0,,88.0,2169744,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-ad2dc56c-3cad-47a7-a84c-e79745e7eac0.jpeg,https://bijnis.app.link/lHMBXHvVNJb,136 - 150,No,142.69," 10, 9,8",Black
3499,COMBIT 2440,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,3874.0,469.0,,403.0,,64.0,2169967,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-b61c2e7b-460f-405c-a1de-88a3d5c970a6.jpeg,https://bijnis.app.link/8KoMaKhAcKb,162 - 180,No,170.96," 10, 9,8",White
3500,COMBIT 2586,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2494.0,550.0,,481.0,,86.0,2253522,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-c90a1d63-2331-4cee-aef3-fc3382619062.jpeg,https://bijnis.app.link/g8OnsuPVVJb,207 - 229,No,218.07," 7, 8, 9,6",Black
3501,COMBIT 2593,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2303.0,565.0,,496.0,,89.0,2260309,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-2a29fd92-6901-42e2-95e5-e98fa2d5ec5b.jpeg,https://bijnis.app.link/b48u95t2NJb,187 - 206,No,196.53," 2, 3,1",White
3502,COMBIT 2594,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1485.0,649.0,,577.0,,116.0,2264428,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-81823437-7053-41de-8669-4ba3fa7c82f6.jpeg,https://bijnis.app.link/ZW3Yzum6NJb,189 - 209,No,199.23,9,Black
3503,COMBIT 2601,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,3691.0,477.0,,411.0,,66.0,2312540,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-6f2a8c6f-9a1e-4c26-aa28-9a2da37c5bf7.jpeg,https://bijnis.app.link/WJphOUYUNJb,164 - 181,No,172.3," 10, 9,8",Black
3504,COMBIT 2602,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,7789.0,318.0,,257.0,,37.0,2312541,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-bdfc1fd2-d2f3-4f59-a4d7-5f300b8ac574.jpeg,https://bijnis.app.link/kY655AeVNJb,194 - 215,No,204.61," 5, 6,4",Black
3505,COMBIT 2603,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,5760.0,383.0,,321.0,,50.0,2312543,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-76f1be6f-e2d5-4208-87fd-c60b5de938e7.jpeg,https://bijnis.app.link/Ttob9NlVNJb,182 - 201,No,191.15," 2, 3,1",Black
3506,COMBIT 2605,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,5412.0,403.0,,326.0,,52.0,2312611,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_3-498cea58-f892-4f38-af18-a1489f36f711.jpeg,https://bijnis.app.link/1FUZq2UaOJb,502 - 555,No,528.17," 6, 7, 8, 9,5,6,7,9",White
3507,COMBIT 2609,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1898.0,602.0,,531.0,,95.0,2316770,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-9fbd742f-1209-41d2-970e-0ed1b6b73133.jpeg,https://bijnis.app.link/USPLWCeVNJb,235 - 260,No,247.69," 10, 8, 9,7",Black
3508,COMBIT 2610,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,4071.0,460.0,,395.0,,63.0,2317849,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-2d7d5eb7-c622-47f6-aa3e-ea2edd8a4529.jpeg,https://bijnis.app.link/m91Gx5y2NJb,226 - 250,No,238.26," 10, 9,8",Black
3509,COMBIT 2612,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,4814.0,424.0,,359.0,,55.0,2321537,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-3e6e3a9b-a90a-4c7d-bea5-59175619b24c.jpeg,https://bijnis.app.link/sRhV5Au9NJb,132 - 146,No,138.65," 7,6",Black
3510,COMBIT 2665,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,2770.0,579.0,,490.0,,81.0,2361958,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-46159975-cbac-4c0a-bdd3-c33791af8dd8.jpeg,https://bijnis.app.link/NJJVJM1XNJb,376 - 416,No,395.97," 5, 6, 7, 8,4,5","Grey,White"
3512,COMBIT 2672,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,1562.0,745.0,,648.0,,114.0,2363069,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-a572fb55-c10b-4347-bdd9-f2f9d953255d.jpeg,https://bijnis.app.link/l6Rr7UdVNJb,408 - 450,No,429.02," 10, 7, 8, 9,6,7,9",Blue
3513,COMBIT 2809,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,18536.0,157.0,,113.0,,8.0,2402552,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-781f93ab-2da2-4927-ac18-e3b5e35fdd90.jpeg,https://bijnis.app.link/JvmKcih9NJb,240 - 266,No,253.07," 12, 13,11,12",Black
3514,COMBIT 2810,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,16459.0,178.0,,131.0,,10.0,2402563,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-8da2a170-d7ae-41a6-ad29-f022cc5e58ee.jpeg,https://bijnis.app.link/bPTsdEo5NJb,280 - 310,No,294.8," 5, 6,4",Black
3515,COMBIT 2811,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,13160.0,222.0,,168.0,,16.0,2402570,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-bbe89df2-556e-4714-adc5-0b58475426ed.jpeg,https://bijnis.app.link/j5OTdKI0NJb,320 - 353,No,336.53," 10, 8, 9,10,7,8,9",Black
3516,COMBIT 2865,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,15521.0,192.0,,142.0,,11.0,2410617,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-0e41ac4d-e9e4-45e3-96e2-0e0b3147d76e.jpeg,https://bijnis.app.link/2nIQ8945NJb,194 - 215,No,204.61," 5, 6,4",Black
3517,COMBIT 2866,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2837.0,528.0,,459.0,,80.0,2410635,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-9cbd6133-9a74-4354-8c6c-930cfb9e29f9.jpeg,https://bijnis.app.link/lMT80UvYNJb,164 - 181,No,172.3," 10, 9,8",Black
3518,COMBIT 2869,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,9041.0,292.0,,233.0,,33.0,2410724,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_2-f912b50d-1f29-47bf-974a-5f8ae37e2d3d.jpeg,https://bijnis.app.link/sj9QlGNaOJb,211 - 233,No,222.11," 8,7,8",Black
3519,COMBIT 2923,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,5740.0,385.0,,309.0,,51.0,2460432,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-dd39d3fc-bc2a-47b9-8282-dafa8b442ecc.jpeg,https://bijnis.app.link/jyL4gRh6NJb,395 - 437,No,415.8," 5, 6, 7, 8,4,5",Olive
3520,COMBIT 2944,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,8787.0,296.0,,236.0,,35.0,2476882,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-01c190d0-1513-4d41-82d3-522e037680b3.jpeg,https://bijnis.app.link/9ZAfP6e6NJb,173 - 191,No,181.73," 12, 13,11",Black
3521,COMBIT 2949,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SPORTS SHOES,7071.0,323.0,,253.0,,41.0,2548998,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-518e67b5-f66d-4d62-9d89-877844d8a310.jpeg,https://bijnis.app.link/XQx0BDr0NJb,470 - 520,No,495.12," 10, 7, 8, 9,6,7",Black
3522,COMBIT 2969,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,15363.0,193.0,,143.0,,12.0,2499684,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-7e102dff-4a0d-4f7b-a758-e8c456b70fab.jpeg,https://bijnis.app.link/5IW9nSr4NJb,261 - 288,No,274.61," 2, 3,1",Black
3523,COMBIT 2972,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1821.0,612.0,,541.0,,101.0,2499691,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-0594f124-dce1-4888-8c82-b53db0ee71cf.jpeg,https://bijnis.app.link/GVfH9qG1NJb,294 - 325,No,309.61," 2, 3,1,2",White
